
randomseed [1] modified_value [i] x[1.000000] from [1]
drone_no t delta_des delta_l delta_f2 delta_f3 delta_obs[-1] delta_obs[-2] delta_obs[-3] delta_wall cont_s_des cont_s_l cont_s_f2 cont_s_f3 cont_s_obs[-1] cont_s_obs[-2] cont_s_obs[-3] cont_s_wall dist_d_obs_ltr dist_d_obs_dia dist_d_obs_btt relative_s_obs_dia dist_first_saw dist_biggest_infl dist_closest accu_infl max_relative_s extra_dist_with_1st extra_dist_with_2nd extra_dist_with_3rd 
1 1 0.0794808998444 0.0724528278917 0.0 0.0 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 997.337540144 997.337539977 4.19720561924 0.749680846689 to_be_removed to_be_removed to_be_removed to_be_removed 0.749680846689 to_be_removed to_be_removed to_be_removed
1 2 0.0247682207503 0.0787549985235 0.0 6.37678312693e-06 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 997.25168768 997.251687357 4.18897905387 0.749693473386 to_be_removed to_be_removed to_be_removed to_be_removed 0.749693473386 to_be_removed to_be_removed to_be_removed
1 3 0.0565685424949 0.000869411159043 0.0 0.0 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 997.163860207 997.163859705 4.1908836891 0.749680949 to_be_removed to_be_removed to_be_removed to_be_removed 0.749693473386 to_be_removed to_be_removed to_be_removed
1 4 0.0553443238379 0.0318859092605 0.0 5.47559525775e-06 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 997.111493215 997.111492563 4.15041175965 0.749690178163 to_be_removed to_be_removed to_be_removed to_be_removed 0.749693473386 to_be_removed to_be_removed to_be_removed
1 5 0.00649428199479 0.00826107546642 0.0 0.000613401814587 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 997.028876932 997.028876147 4.13916311189 0.749702918184 to_be_removed to_be_removed to_be_removed to_be_removed 0.749702918184 to_be_removed to_be_removed to_be_removed
1 6 0.0274581622057 0.0104271482278 0.0 0.00414371949725 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.955952285 996.955951379 4.11867271943 0.749715485713 to_be_removed to_be_removed to_be_removed to_be_removed 0.749715485713 to_be_removed to_be_removed to_be_removed
1 7 0.0601955433612 0.0194718661329 0.000925578031875 0.00594302651334 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.892652834 996.892651815 4.08915978499 0.749727089408 to_be_removed to_be_removed to_be_removed to_be_removed 0.749727089408 to_be_removed to_be_removed to_be_removed
1 8 0.0667049061695 0.0202254437484 0.00113787785026 0.000680323307124 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.844484727 996.844483592 4.04567213755 0.749734822506 to_be_removed to_be_removed to_be_removed to_be_removed 0.749734822506 to_be_removed to_be_removed to_be_removed
1 9 0.0772283602222 0.0443223104412 0.00225044117224 0.00251339936707 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.78159064 996.78158941 4.01623603106 0.749746367948 to_be_removed to_be_removed to_be_removed to_be_removed 0.749746367948 to_be_removed to_be_removed to_be_removed
1 10 0.0527817989865 0.0494843044149 0.0075803807662 0.000164392188213 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.741453473 996.741452102 3.96667790544 0.749745309522 to_be_removed to_be_removed to_be_removed to_be_removed 0.749746367948 to_be_removed to_be_removed to_be_removed
1 11 0.0782423162695 0.0773195142942 0.0041173912215 0.00772565045568 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 996.678524857 996.678523407 3.93751770501 0.749756861789 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
